1995 c. 34	Child Support Act 1995
2000 c. 19	Child Support, Pensions and Social Security Act 2000

S.I.
1987/1967	The Income Support (General) Regulations 1987
1987/1968	The Social Security (Claims and Payments) Regulations 1987
1992/1431	The Child Support Act 1991 (Commencement No 1) Order 1992
1992/1812	The Child Support (Information, Evidence and Disclosure) Regulations 1992
1992/1813	The Child Support (Maintenance Assessment Procedure) Regulations 1992
1992/1815	The Child Support (Maintenance Assessments and Special Cases) Regulations 1992
1992/1816	The Child Support (Arrears, Interest and Adjustment of Maintenance Assessments) Regulations 1992
1992/1938	The Child Support Act 1991 (Commencement No 2) Order 1992
1992/1989	The Child Support (Collection and Enforcement) Regulations 1992
1992/2640	The Child Support Commissioners (Procedure) Regulations 1992
1992/2641	The Child Support Appeal Tribunals (Procedure) Regulations 1992
1992/2643	The Child Support (Collection and Enforcement of Other Forms of Maintenance) Regulations 1992
1992/2644	The Child Support Act 1991 (Commencement No 3 and Transitional Provisions) Order 1992
1992/2645	The Child Support (Maintenance Arrangements and Jurisdiction) Regulations 1992
1992/3094	The Child Support (Fees) Regulations 1992
1993/584	The Child Support (Northern Ireland Reciprocal Arrangements) Regulations 1993
1993/620	The Child Maintenance (Written Agreements) Order 1993
1993/660	The Child Support (Amendments to Primary Legislation) (Scotland) Order 1993
1993/785	The Child Support Act 1991 (Consequential Amendments) Order 1993
1993/913	The Child Support (Miscellaneous Amendments) Regulations 1993
1993/925	The Child Support (Maintenance Assessments and Special Cases) Amendment Regulations 1993
1993/961	The Child Support Appeals (Jurisdiction of Courts) Order 1993
1993/966	The Child Support Act 1991 (Commencement No 3 and Transitional Provisions) Amendment Order 1993
1994/227	The Child Support (Miscellaneous Amendments and Transitional Provisions) Regulations 1994
1994/731	The Child Support Act 1991 (Consequential Amendments) Order 1994
1995/123	The Child Support (Miscellaneous Amendments) Regulations 1995
1995/1045	The Child Support and Income Support (Amendment) Regulations 1995
1995/2302	The Child Support Act 1995 (Commencement No 1) Order 1995
1995/2907	The Child Support Commissioners (Procedure) (Amendment) Regulations 1995 [Revoked]
1995/3261	The Child Support (Miscellaneous Amendments) (No 2) Regulations 1995
1995/3262	The Child Support Act 1995 (Commencement No 2) Order 1995
1995/3263	The Child Support (Compensation for Recipients of Family Credit and Disability Working Allowance) Regulations 1995
1995/3265	The Child Support (Miscellaneous Amendments) (No 3) Regulations 1995
1996/182	The Social Security (Adjudication) and Child Support Amendment Regulations 1996
1996/243	The Child Support Commissioners (Procedure) (Amendment) Regulations 1996
1996/481	The Child Support (Maintenance Assessments and Special Cases) and Social Security (Claims and Payments) Amendment Regulations 1996
1996/635	The Child Support Departure Direction (Anticipatory Application) Regulations 1996
1996/1345	The Social Security and Child Support (Jobseeker's Allowance) (Consequential Amendments) Regulations 1996
1996/1803	The Child Benefit, Child Support and Social Security (Miscellaneous Amendments) Regulations 1996
1996/1945	The Child Support (Miscellaneous Amendments) Regulations 1996
1996/2378	The Social Security and Child Support (Jobseeker's Allowance) (Transitional Provisions) (Amendment) Regulations 1996
1996/2450	The Social Security (Adjudication) and Child Support Amendment (No 2) Regulations 1996
1996/2538	The Social Security and Child Support (Jobseeker's Allowance) (Miscellaneous Amendments) Regulations 1996
1996/2630	The Child Support Act 1995 (Commencement No 3) Order 1996
1996/2907	The Child Support Departure Direction and Consequential Amendments Regulations 1996
1996/3195	The Social Security (Child Maintenance Bonus) Regulations 1996
1996/3196	The Child Support (Miscellaneous Amendments) (No 2) Regulations 1996
1997/454	The Social Security (Miscellaneous Amendments) Regulations 1997
1997/645	The Child Maintenance Bonus (Northern Ireland Reciprocal Arrangements) Regulations 1997
1997/802	The Child Support Commissioners (Procedure) (Amendment) Regulations 1997
1997/827	The Social Security and Child Support (Miscellaneous Amendments) Regulations 1997
1997/955	The Social Security (Adjudication) and Commissioners Procedure and Child Support Commissioners (Procedure) Amendment Regulations 1997
1997/2943	The Child Support (Written Agreements) (Scotland) Order 1997
1998/58		The Child Support (Miscellaneous Amendments) Regulations 1998
1998/563	The Social Security (Miscellaneous Amendments) Regulations 1998
1998/865	The Social Security (Miscellaneous Amendments) (No 2) Regulations 1998
1998/2780	The Social Security Act 1998 (Commencement No 2) Order 1998
1998/2799	The Child Support (Miscellaneous Amendments) (No 2) Regulations 1998
1999/977	The Child Support (Miscellaneous Amendments) Regulations 1999
1999/991	The Social Security and Child Support (Decisions and Appeals) Regulations 1999
1999/1047	The Child Support (Miscellaneous Amendments) (No 2) Regulations 1999
1999/1305	The Child Support Commissioners (Procedure) Regulations 1999
1999/1466	The Social Security and Child Support (Decisions and Appeals) (Amendment) Regulations 1999
1999/1510	The Social Security Act 1998 (Commencement No 7 and Consequential and Transitional Provisions) Order 1999
1999/1623	The Social Security and Child Support (Decisions and Appeals) Amendment (No 2) Regulations 1999
1999/1662	The Social Security Contributions (Transfer of Functions, etc) Act 1999 (Commencement No 2 and Consequential and Transitional Provisions) Order 1999
1999/1670	The Social Security and Child Support (Decisions and Appeals) Amendment (No 3) Regulations 1999
1999/2566	The Social Security and Child Support (Tax Credits) Consequential Amendments Regulations 1999
1999/2570	The Tax Credits (Decisions and Appeals) (Amendment) Regulations 1999
1999/2677	The Social Security and Child Support (Decisions and Appeals), Vaccine Damage Payments and Jobseeker's Allowance (Amendment) Regulations 1999
1999/3178	The Social Security Act 1998 (Commencement No 12 and Consequential and Transitional Provisions) Order 1999
2000/119	The Social Security and Child Support (Decisions and Appeals) Amendment Regulations 2000
2000/127	The Tax Credits (Decisions and Appeals) (Amendment) Regulations 2000
2000/897	The Social Security (Work-focused Interviews) Regulations 2000
2000/1596	The Social Security and Child Support (Miscellaneous Amendments) Regulations 2000
2000/1982	The Social Security (Joint Claims: Consequential Amendments) Regulations 2000
2000/2666	The Child Support, Pensions and Social Security Act 2000 (Commencement No 1) Order 2000
2000/2950	The Child Support, Pensions and Social Security Act 2000 (Commencement No 2) Order 2000
2000/2994	The Child Support, Pensions and Social Security Act 2000 (Commencement No 3) Order 2000
2000/3030	The Social Security (Recovery of Benefits) (Miscellaneous Amendments) Regulations 2000
2000/3166	The Child Support, Pensions and Social Security Act 2000 (Commencement No 4) Order 2000
2000/3173	The Child Support (Variations) (Modification of Statutory Provisions) Regulations 2000
2000/3174	The Child Support (Temporary Compensation Payment Scheme) Regulations 2000
2000/3176	The Social Security (Child Maintenance Premium and Miscellaneous Amendments) Regulations 2000
2000/3177	The Child Support (Voluntary Payments) Regulations 2000
2000/3185	The Child Support (Decisions and Appeals) (Amendment) Regulations 2000
2000/3186	The Child Support (Transitional Provisions) Regulations 2000
2000/3354	The Child Support, Pensions and Social Security Act 2000 (Commencement No 5) Order 2000
2001/153	The Child Support, Pensions and Social Security Act 2000 (Commencement No 6) Order 2001
2001/155	The Child Support (Maintenance Calculations and Special Cases) Regulations 2000
2001/156	The Child Support (Variations) Regulations 2000
2001/157	The Child Support (Maintenance Calculation Procedure) Regulations 2000
2001/158	The Child Support (Consequential Amendments and Transitional Provisions) Regulations 2001
2001/161	The Child Support (Information, Evidence and Disclosure and Maintenance Arrangements and Jurisdiction) (Amendment) Regulations 2000
2001/162	The Child Support (Collection and Enforcement and Miscellaneous Amendments) Regulations 2000
2001/774	The Child Support, Pensions and Social Security Act 2000 (Commencement No 7) Order 2001
2001/1236	The Child Support (Civil Imprisonment) (Scotland) Regulations 2001
2001/1252	The Child Support, Pensions and Social Security Act 2000 (Commencement No 8) Order 2001
2001/1711	The Social Security (Breach of Community Order) (Consequential Amendments) Regulations 2001
2001/1775	The Child Support (Miscellaneous Amendments) Regulations 2001
2001/2295	The Child Support, Pensions and Social Security Act 2000 (Commencement No 9) Order 2001
2001/2619	The Child Support, Pensions and Social Security Act 2000 (Commencement No 10) Order 2001
2002/428	The Social Security (Claims and Payments and Miscellaneous Amendments) Regulations 2002
2002/437	The Child Support, Pensions and Social Security Act 2000 (Commencement No 11) Order 2002
2002/490	The Social Security (Loss of Benefit) (Consequential Amendments) Regulations 2002
2002/771	The Child Support (Northern Ireland Reciprocal Arrangements) Amendment Regulations 2002
2002/1204	The Child Support (Miscellaneous Amendments) Regulations 2002
2002/1379	The Social Security and Child Support (Decisions and Appeals) (Miscellaneous Amendments) Regulations 2002
2002/1854	The Child Support (Temporary Compensation Payment Scheme) (Modification and Amendment) Regulations 2002
2002/1915	The Child Support Appeals (Jurisdiction of Courts) Order 2002
2002/3019	The State Pension Credit (Consequential, Transitional and Miscellaneous Provisions) Regulations 2002
2003/96	(SSI)	The Child Support Appeals (Jurisdiction of Courts) (Scotland) Order 2003
2003/129	The Child Support (Decisions and Appeals) (Amendment) Regulations 2003
2003/192	The Child Support, Pensions and Social Security Act 2000 (Commencement No 12) Order 2003
2003/194	The Child Support (Applications: Prescribed Date) Regulations 2003
2003/328	The Child Support (Miscellaneous Amendments) Regulations 2003
2003/346	The Child Support, Pensions and Social Security Act 2000 (Commencement No 13) Order 2003
2003/347	The Child Support (Transitional Provision) (Miscellaneous Amendments) Regulations 2003
2003/1050	The Social Security and Child Support (Miscellaneous Amendments) Regulations 2003
2003/1189	The Social Security and Child Support (Miscellaneous Amendments) (No 2) Regulations 2003
2003/3206	The Child Support (Information, Evidence and Disclosure) Amendment Regulations 2003

2004/98		The Social Security (Child Maintenance Premium) Amendment Regulations 2004
2004/2415	The Child Support (Miscellaneous Amendments) Regulations 2004
2004/3368	The Social Security, Child Support and Tax Credits (Decisions and Appeals) Amendment Regulations 2004
2005/207	The Social Security and Child Support Commissioners (Procedure) (Amendment) Regulations 2005
2005/337	The Social Security, Child Support and Tax Credits (Miscellaneous Amendments) Regulations 2005
2005/785	The Child Support (Miscellaneous Amendments) Regulations 2005
2005/2877	The Civil Partnership (Pensions, Social Security and Child Support) (Consequential, etc. Provisions) Order 2005
2006/1520	The Child Support (Miscellaneous Amendments) Regulations 2006
2006/1692	The Contracting Out (Functions Relating to Child Support) Regulations 2006
2007/1979	The Child Support (Miscellaneous Amendments) Regulations 2007
2008/536	The Child Support (Miscellaneous Amendments) Regulations 2008
2008/1476	The Child Maintenance and Other Payments Act 2008 (Commencement) Order 2008
2008/1955	The Child Support Commissioners (Procedure) (Amendment) Regulations 2008
2008/1957	The Social Security and Child Support (Decisions and Appeals) (Amendment) Regulations 2008
2008/2033	The Child Maintenance and Other Payments Act 2008 (Commencement No 2) Order 2008
2008/2111	The Social Security (Child Maintenance Amendments) Regulations 2008
2008/2543	The Child Support (Consequential Provisions) Regulations 2008
2008/2544	The Child Support (Miscellaneous Amendments) (No 2) Regulations 2008
2008/2545	The Child Support, Pensions and Social Security Act 2000 (Commencement No 14) Order 2003
2008/2548	The Child Maintenance and Other Payments Act 2008 (Commencement No 3 and Transitional and Savings Provisions) Order 2008
2008/2551	The Child Support Information Regulations 2008
2008/2656	The Child Support (Consequential Provisions) (No 2) Regulations 2008
2008/2675	The Child Maintenance and Other Payments Act 2008 (Commencement No 4 and Transitional Provision) Order 2008
2009/396	The Child Support (Miscellaneous Amendments) Regulations 2009
2009/736	The Child Support (Miscellaneous and Consequential Amendments) Regulations 2009
2009/1314	The Child Maintenance and Other Payments Act 2008 (Commencement No 5) Order 2009
2009/1815	The Child Support Collection and Enforcement (Deduction Orders) Amendment Regulations 2009
2009/2909	The Child Support (Miscellaneous Amendments) (No 2) Regulations 2009
2009/3072	The Child Maintenance and Other Payments Act 2008 (Commencement No 6) Order 2009
2009/3151	The Child Support (Management of Payments and Arrears) Regulations 2009
2010/19		The Social Security (Contributions Credits for Parents and Carers) (Amendments) Regulations 2009
2010/697	The Child Maintenance and Other Payments Act 2008 (Commencement No 7) Order 2010
2011/1464	The Child Support (Miscellaneous Amendments) Regulations 2011
2012/712	The Child Support (Miscellaneous Amendments) Regulations 2012
2012/1267	The Social Security and Child Support (Supersession of Appeal Decisions) Regulations 2012
2012/1649	The Child Maintenance and Other Payments Act 2008 (Commencement No 8) Order 2012
2012/2007	The Public Bodies (Child Maintenance and Enforcement Commission: Abolition and Transfer of Functions) Order 2012
2012/2380	The Child Support (Northern Ireland Reciprocal Arrangements) Amendment Regulations 2012
2012/2523	The Child Maintenance and Other Payments Act 2008 (Commencement No 9) and the Welfare Reform Act 2009 (Commencement No 9) Order 2012
2012/2677	The Child Support (Maintenance Calculations) Regulations 2012
2012/2678	The Child Support Maintenance (Changes to Basic Rate Calculation and Minimum Amount of Liability) Regulations 2012
2012/2785	The Child Support (Meaning of Child and New Calculation Rules) (Consequential and Miscellaneous Amendment) Regulations 2012
2012/3002	The Child Support (Management of Payments and Arrears) (Amendment) Regulations 2012
2012/3042	The Child Maintenance and Other Payments Act 2008 (Commencement No 10 and Transitional Provisions) Order 2012
2013/1517	The Child Support (Miscellaneous Amendments) Regulations 2013
2013/1654	The Child Support and Claims and Payments (Miscellaneous Amendments and Change to the Minimum Amount of Liability) Regulations 2013
2013/1860	The Child Maintenance and Other Payments Act 2008 (Commencement No 11 and Transitional Provisions) Order 2013
2013/2380	The Social Security, Child Support, Vaccine Damage and Other Payments (Decisions and Appeals) (Amendment) Regulations 2013
2013/2947	The Child Maintenance and Other Payments Act 2008 (Commencement No 12 and Savings Provisions) and the Welfare Reform Act 2012 (Commencement No 15) Order 2013
2014/107	The Marriage (Same Sex Couples) Act 2013 (Consequential Provisions) Order 2014
